Unnamed: 0,city,keyword,urls
20,Glasgow,sightseeing,https://ak.jogurucdn.com/media/image/p15/activity-2016-01-4-21-57a75135a0e7f157b84f12dcb604a592.jpg https://scotlandwelcomesyou.com/wp-content/uploads/2018/04/kelpies-and-falkirk-wheel-half-day-tour-from-glasgow-in-glasgow-398492-300x200_opt.jpg https://cdn.getyourguide.com/img/tour_img-853832-146.jpg https://media.dayoutwiththekids.co.uk/media/18224/glasgow-7-156.jpg?anchor=center&mode=crop&quality=75&width=1680&height=940 https://www.planetware.com/photos-large/SCO/city-center.jpg https://cdn.getyourguide.com/img/tour_img-853832-148.jpg https://www.planetware.com/photos-tiles/ireland-glasgow-city-hall-1.jpg https://media.tacdn.com/media/attractions-splice-spp-674x446/06/6f/50/ae.jpg https://www.planetware.com/photos-large/SCO/scotland-glasgow-george-square.jpg https://www.telegraph.co.uk/content/dam/Travel/Destinations/Europe/United%20Kingdom/Scotland/Glasgow/Kelvin-glasgow-AP86078767.jpg?imwidth=450
21,Edinburgh,sightseeing,https://www.planetware.com/photos-large/SCO/scotland-edinburgh-skyline.jpg https://media.tacdn.com/media/attractions-splice-spp-674x446/06/6f/50/ac.jpg https://www.planetware.com/photos-large/SCO/scotland-edinburgh-castle.jpg https://cdn.getyourguide.com/img/tour_img-666528-146.jpg https://www.planetware.com/photos-large/SCO/scotland-edinburgh-calton-hill.jpg https://media.tacdn.com/media/attractions-splice-spp-674x446/07/3d/2b/95.jpg https://thumbs.dreamstime.com/z/edinburgh-scotland-uk-circa-march-strolling-sightseeing-edinburgh-view-city-several-monuments-castle-81772397.jpg https://media.dayoutwiththekids.co.uk/media/10876/37129-edinburgh-bus-tours-edinburgh-01.jpg?anchor=center&mode=crop&quality=75&width=1680&height=940 https://isangoassets.isango.com/productimages/product/3790/Edinburgh_5121_1.jpg https://cdn2.veltra.com/ptr/20171016160853_1526219061_2074_0.jpg?imwidth=550&impolicy=custom
22,Leuven,sightseeing,https://www.planetware.com/photos-large/B/belgium-leuven-city-hall.jpg http://www.discoverleuven.com/images/Library/library.jpg https://www.planetware.com/photos-large/B/belgium-leuven-oude-markt.jpg http://www.orangesmile.com/common/img_cities_original/leuven--1963947-6.jpg https://s3.amazonaws.com/beertourprod/images/pictures/000/003/588/original/Leuven.jpg?1376157732 https://www.gpsmycity.com/img/gd/5137.jpg https://www.planetware.com/photos-large/B/belgium-leuven-st-peters-church.jpg https://cdn.theculturetrip.com/wp-content/uploads/2017/01/arenberg-castle--jim-trodelflickr-1024x640.jpg http://www.orangesmile.com/common/img_cities_original/leuven--1963947-0.jpg https://media-cdn.tripadvisor.com/media/photo-s/01/16/12/18/the-building.jpg
23,Berlin,sightseeing,https://www.planetware.com/photos-large/D/east-berlin-former-0.jpg https://www.visitberlin.de/system/files/styles/visitberlin_bleed_header_visitberlin_mobile_1x/private/image/iStock_000049394172_istock.com_Mapics_DL_PPT_0.jpg?h=5f29f7b4&itok=LFla1Mba https://cdn.getyourguide.com/img/tour_img-629553-148.jpg https://extrapolitan-production.s3.amazonaws.com/pictures/Berlin/berlin-customer.jpg https://cdn.getyourguide.com/img/tour_img-634452-148.jpg https://media.tacdn.com/media/attractions-splice-spp-674x446/06/70/7f/a6.jpg https://www.visitberlin.de/system/files/styles/visitberlin_bleed_header_visitberlin_mobile_1x/private/image/Museumsinsel%2BDom_iStock_c_Chalabala_DL_PPT_0.jpg?h=ed48b44d&itok=omZojQXE https://media-cdn.tripadvisor.com/media/photo-s/16/44/b9/08/3-hour-berlin-sightseeing.jpg https://www.planetware.com/photos-large/D/east-berlin-former.jpg https://media.tacdn.com/media/attractions-splice-spp-674x446/06/74/0d/f7.jpg
24,Brussels,sightseeing,https://www.planetware.com/photos-large/B/belgium-brussels-grand-place.jpg https://theculturetrip.com/wp-content/uploads/2017/01/mini-europe--mini-europe-courtesy-of-visitbrussels-be_.jpg https://d3hne3c382ip58.cloudfront.net/resized/400x400/city-sightseeing-tours-in-brussels-400X400_.JPG https://media-cdn.tripadvisor.com/media/photo-s/0d/f4/de/34/brussels-sightseeing.jpg https://www.planetware.com/photos-large/B/belgium-brussels-royal-palace.jpg https://media.tacdn.com/media/attractions-splice-spp-674x446/06/ee/98/67.jpg https://www.planetware.com/photos-large/B/belgium-brussels-mont-des-arts.jpg https://ak.jogurucdn.com/media/image/p15/activity-2016-02-13-10-d3f5c84a894e090549f0d17c8672f2f6.jpg https://cache-graphicslib.viator.com/graphicslib/thumbs360x240/2200/SITours/brussels-sightseeing-tour-including-the-european-parliament-in-brussels-120860.jpg https://media-cdn.tripadvisor.com/media/photo-s/16/09/76/67/best-brussels-sightseeing.jpg
25,Gdansk,sightseeing,http://www.exploregdansk.com/wp-content/uploads/2017/08/Gdansk-sightseeing-guide-tours-old-town.jpg https://img.theculturetrip.com/768x432/wp-content/uploads/2017/10/corte_artus_gdansk_polonia_2013-05-20_dd_03.jpg https://www.tripsavvy.com/thmb/Isk_4vZKWaJeiqt2G_i_c2wcr-Y=/960x0/filters:no_upscale():max_bytes(150000):strip_icc()/aerial-view-of-gdansk-during-sunset--poland-883197762-5c7813a846e0fb00011bf277.jpg https://media-cdn.tripadvisor.com/media/photo-s/16/e1/6f/bb/gdansk-2-hour-old-town.jpg https://image.shutterstock.com/image-photo/old-town-gdansk-skyline-morning-260nw-152227757.jpg https://cdn.getyourguide.com/img/tour_img-757903-146.jpg https://i.pinimg.com/originals/f7/2f/c4/f72fc4fbf69bf1dc5a1584ee33830788.jpg https://cdn.getyourguide.com/img/tour_img-757903-148.jpg https://d3hne3c382ip58.cloudfront.net/resized/373x212/shore-excursion-best-of-gdansk-tour-tour-2-4680_1539765789.JPG
26,Quito,sightseeing,https://cache-graphicslib.viator.com/graphicslib/destination/quito-461363.jpg https://drwyjmricaxm7.cloudfront.net/repository/1553832585-4338-10_crop_flip_800_450_f2f2f2_center-center.jpg https://cache-graphicslib.viator.com/graphicslib/thumbs674x446/5207/SITours/old-town-quito-sightseeing-and-food-walking-tour-in-quito-112484.jpg https://media.tacdn.com/media/attractions-splice-spp-674x446/06/6e/d6/10.jpg http://drwyjmricaxm7.cloudfront.net/repository/1553832585-4338-10_crop_800_600.jpg https://cache-graphicslib.viator.com/graphicslib/thumbs674x446/9553/SITours/quito-s-top-attractions-pass-in-quito-222518.jpg https://cdn.getyourguide.com/img/tour_img-395799-148.jpg
27,Cuenca,sightseeing,https://www.planetware.com/photos-large/E/cuenca.jpg https://www.spain.info/export/sites/spaininfo/comun/galeria_imagenes/destinos/p2_casco_historico_cuenca_t.jpg_369272544.jpg https://www.planetware.com/photos-large/E/spain-cuenca-cathedral.jpg https://media2.trover.com/T/5508f66b8e7cb268cf000b0f/fixedw_large_4x.jpg https://media-cdn.tripadvisor.com/media/photo-s/14/da/e0/cf/turibus-en-cuenca-la.jpg http://www.ecuadorexplorer.com/wp-content/uploads/2015/06/cuenca-cathedrals.jpg http://www.ecuadorexplorer.com/wp-content/uploads/2015/06/ingapirca.jpg https://www.planetware.com/photos-large/E/spain-cuenca-belmonte-castle.jpg https://media-cdn.tripadvisor.com/media/photo-s/10/66/0f/74/2-night-cuenca-sightseeing.jpg
28,Guayaquil,sightseeing,http://cdn77.orangesmile.com/common/img_cities_w680/guayaquil--927505-40.jpg https://toptravelsights.com/wp-content/uploads/2018/06/IMG_20180617_160554.jpg https://media-cdn.tripadvisor.com/media/photo-s/01/24/b5/06/estatua-de-bolivar-y.jpg https://cache-graphicslib.viator.com/graphicslib/thumbs674x446/9014/SITours/guayaquil-layover-sightseeing-tour-with-round-trip-airport-transport-in-guayaquil-338261.jpg https://media.tacdn.com/media/attractions-splice-spp-674x446/07/6b/ac/b2.jpg https://cache-graphicslib.viator.com/graphicslib/thumbs674x446/3074/SITours/private-tour-guayaquil-sightseeing-with-optional-historical-park-in-guayaquil-142296.jpg https://media-cdn.tripadvisor.com/media/photo-s/17/91/6e/14/guayaquil-city-tour-lunch.jpg https://media.tacdn.com/media/attractions-splice-spp-674x446/06/75/a8/4b.jpg http://www.orangesmile.com/common/img_cities_original/guayaquil--927505-40.jpg
29,Pasto,sightseeing,https://img.theculturetrip.com/768x432/wp-content/uploads/2018/01/ed1.jpg http://static.trip101.com/paragraph_media/pictures/000/265/406/large/Santuario_Nacional_de_Las_Lajas_02.jpg?1503378599 https://cdn.thecrazytourist.com/wp-content/uploads/2018/08/ccimage-shutterstock_623135669.jpg https://cdn.theculturetrip.com/wp-content/uploads/2018/01/064edit.jpg https://media-cdn.tripadvisor.com/media/photo-s/0a/36/9f/fe/centro-historico-de-pasto.jpg https://media.tacdn.com/media/attractions-splice-spp-674x446/07/79/e3/a6.jpg https://upload.wikimedia.org/wikipedia/commons/8/85/Iglesia_San_Juan_Bautista_de_Pasto.JPG https://media-cdn.tripadvisor.com/media/photo-s/04/3a/0b/b4/la-laguna-de-la-cocha.jpg https://media-cdn.tripadvisor.com/media/photo-s/07/63/a0/2c/getlstd-property-photo.jpg
